wallet_address,player_name,actual_royal_favor,gold_value,main_pot_share,chain,day_one_cashout_npc_kills,day_two_cashout_npc_kills,day_three_cashout_npc_kills,day_four_cashout_npc_kills,day_five_cashout_npc_kills
0x1f231845a8C0575C99B905650670e2aFB81f73Ff,k1rukatooo,157126,29824,0.00068772,blast,,,,,10
0x4564EE58d4aa9E1dA0ABCBF83e30b569f8218FFD,Bug,38642,878050,0.00068698,ronin,,,,,
0xDed18ccA229b5c304455681F6c5dd1cceC5Ffc8b,Ale2RD,166539,61307,0.00068550,ronin,,,,,
0xA02b34f9EcFFab554F0FF98Bf710eaE67a3F212d,upieie.eth,107397,284578,0.00068476,blast,,,,,16
0x22b7C04E1A6b419D9B392e89B0Acd8AcCe289494,Govnoed,116356,379420,0.00068464,blast,,,,,
0x0f72A1E2c1B159a4eD454876e3240A72389C0DE1,Bavovna,76911,16131,0.00068413,blast,3,,,,
0x3b70FF4cb7687A852eCB4f227c6D3D490E5d7f31,doncelione.eth,129648,99533,0.00068149,blast,,,,,20
0xa6270D7b27ae5b74b805b369C769301F16414b19,MEPOxXChan,15188,198391,0.00068035,blast,4,,,,
0x7aa4E1128a6965FC92beC4aC92B6579D9762e2E5,Mrat,164338,17568,0.00067857,blast,,,,1,
0x643b7F16343Bf8e5F8e74A01104eF1eF34194416,90xGGG_Makusui,135846,244382,0.00067795,ronin,,,,,
0x0FCf9F7e1974acb95386a5CA9f1594908B449264,krypto,167391,40108,0.00067586,blast,,,,,
0x163ad77bba3A5E5f9Daaa4E60A5258c21F5062aa,Ramiro,134921,41784,0.00067554,ronin,1,,,,
0x01EA833aF379738c78Af3f30CC77a3cE07C1EE94,henryy,148014,162824,0.00067546,ronin,,,,,
0x20aC308a5b4455645EAAC013Dc08653E682Aab50,BobbyDrake,31074,905337,0.00067421,ronin,,,,,
0x4a2000cB42b3db2164618881b81370538825DAC9,kasiyツ,96091,489374,0.00067299,ronin,,,,,
0x9eDA8f94cB3491CB1b2aE4e5F1eB7571BB55DA0b,xlite,134099,123428,0.00067275,blast,,,,,13
0xE56B6ac01F112e7C0358edc1a85068FC9B92FAaE,DiziFr0st,55403,747938,0.00067269,ronin,,,,,
0x5F6b5178ca372D08C309f814Ad2d30C7Bc889344,Guthix,53278,51610,0.00066871,blast,,56,,9,
0x3aB6011b190ff6DB2E117ed54fAe4cd7F1B81cDe,SatThan,155596,46386,0.00066865,ronin,,,,,6
0xf833f9848d4495D1f05bF57B25132211575fC9D1,Prival,140266,57853,0.00066829,blast,,,,,15
0xc9A520472a0964086B6D30874f77Aa22Ff35a31E,CN-彦祖,41596,10010,0.00066797,blast,4,,,,
0x2c9001802A6190D5580b3108fE9cfE4E1cC62106,Fl1de,91351,153382,0.00066770,blast,1,30,,,
0x88E8Ac543FBc40446388E66FcaC5d45c6bB04B8a,G2ard,153228,31359,0.00066768,blast,,,,,9
0xe8082453e5aaBD735796539eb636FfC683905310,WBT-ZC,127585,193686,0.00066711,blast,,,,,9
0xE9dE72E881cDE5b6573EEa0Ac19cc2aeFC65CfE1,神秘-良,156300,91204,0.00066393,blast,,,,,
0x48D55324f88D7417E06F1A8E5d5BA5811d078B7F,Pomehaa,160330,63808,0.00066287,blast,,,,,
0xaD3613A25B3A0c053A1A4D05D25bD9993249592c,Rooteck-MANA,159469,62943,0.00065899,ronin,,,,,
0x9a34E98EFf7F1B781C42Ff496E1e5419bd9f60b6,meta,146772,141372,0.00065751,blast,,,,,
0x383b7617C1D20Ff9a4aB5e7C0Cb188e6AE007D66,zinonn1325,25438,83723,0.00065547,ronin,2,,,9,
0xC3eFd2C10922b68054F90d2adc1784951156aa93,TGGlioN,129698,244820,0.00065430,ronin,,,,,
0xF681A4FCb4F0CdccAF40b5B4DeB0c6E1FE895282,DashowTGG,160692,46553,0.00065373,ronin,,,,,
0xe5266c3DF0ebCE127E20D82340d80219a9345089,TABetta,24684,911750,0.00065327,ronin,,,,,
0x3136eB150e063B764974d452047496Bcf452A2FC,FzmMANA,127802,63199,0.00065210,ronin,,,,,20
0x0ac95dcd956Aa46dCe2EAcf30EeC41842c541eaa,otrix.eth,67085,638258,0.00065111,blast,,,,,
